time,Δt,t,DATE,DOY,DOYP,TMAX,TMIN,TMN,PAR,SWFAC,EMP1,EMP2,Fc,sla,INTOT,LAI0,Lfmax,N0,nb,p1,PD,rm,tb,W0,Wc0,Wr0,PT,RUE,Pg,ROWSPC,Y1,P,VP,RP,FL,dN,N,di,INT,__Plant__a,dLAI1,dLAI2,dLAI,LAI,E,dW,W,Wc,Wr,Wf,endsim,SRAD,RAIN,IRR,CN,DP,DRNp,WPp,FCp,STp,SWC0,WP,FC,ST,S,POTINF,ROF,INF,THE,TRAIN,TIRR,TESa,TEPa,TROF,TDRN,TINF,DRN,αs,αc,ALB,Tmed,EEQ,f,ETp,ESp,EPp,__SoilWater__a,ESa,EPa,dSWC,dROF_extra,dSWC_ADJ,SWC_ADJ,SWC,ΔSWC,Fi,Fo,WATBAL,CHECK,SWFAC1,WTABLE,DWT,STRESS_DEPTH,SWFAC2
1608.0 hr,24.0 hr,67.0 d,1987-03-09,68 d,121 d,20.0 °C,13.3 °C,16.649999999999977 °C,4.65 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.8527359375,2.1 g MJ⁻¹,0.014775325162697561 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.0738766258134878 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,9.3 MJ d⁻¹ m⁻²,0.8 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.8 mm d⁻¹,0.0 mm d⁻¹,0.8 mm d⁻¹,206.62500000000003 mm,322.70000000000005 mm,0.0 mm,151.35604408838464 mm,1.3855643147200154 mm,0.068368115462597 mm,126.32624050394334 mm,322.6316318845374 mm,4.356378297748935 mm d⁻¹,0.1,0.2,0.1009058720309957,17.319999999999993 °C,1.9122324719457942 mm d⁻¹,1.1,2.1034557191403738 mm d⁻¹,2.084401102096302 mm d⁻¹,0.01905461704407193 mm d⁻¹,1.0,2.084401102096302 mm d⁻¹,0.01905461704407193 mm d⁻¹,-5.659834016889309 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,290.0637829774894 mm,-43.56378297748938 mm,322.70000000000005 mm,279.1362170225106 mm,5.684341886080802e-14 mm,322.63163188453746 mm,1.0,396.0343907044487 mm,1053.965609295551 mm,250.0 mm,1.0
1632.0 hr,24.0 hr,68.0 d,1987-03-10,69 d,121 d,24.4 °C,10.6 °C,17.5 °C,9.6 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9362437499999999,2.1 g MJ⁻¹,0.033491121652135615 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.16745560826067807 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,19.2 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,323.50000000000006 mm,0.0 mm,153.44044519048094 mm,1.4046189317640874 mm,0.068368115462597 mm,130.68261880169229 mm,323.4316318845374 mm,3.790394896060005 mm d⁻¹,0.1,0.2,0.1009058720309957,18.879999999999995 °C,4.08079294698377 mm d⁻¹,1.1,4.488872241682148 mm d⁻¹,4.44820880353762 mm d⁻¹,0.04066343814452789 mm d⁻¹,1.0,4.44820880353762 mm d⁻¹,0.04066343814452789 mm d⁻¹,-8.279267137742153 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,284.4039489606001 mm,-37.903948960600076 mm,323.50000000000006 mm,285.59605103939987 mm,1.1368683772161603e-13 mm,323.43163188453747 mm,1.0,344.58135418727323 mm,1105.4186458127267 mm,250.0 mm,1.0
1656.0 hr,24.0 hr,69.0 d,1987-03-11,70 d,121 d,22.8 °C,8.9 °C,15.850000000000023 °C,5.8 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.8886109375000001,2.1 g MJ⁻¹,0.019204772912762937 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.09602386456381468 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,11.6 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,323.50000000000006 mm,0.0 mm,157.88865399401857 mm,1.4452823699086152 mm,0.068368115462597 mm,134.4730136977523 mm,323.4316318845374 mm,2.9624681822857926 mm d⁻¹,0.1,0.2,0.1009058720309957,17.24000000000001 °C,2.381030749698621 mm d⁻¹,1.1,2.6191338246684834 mm d⁻¹,2.5954078238964637 mm d⁻¹,0.023726000772019522 mm d⁻¹,1.0,2.5954078238964637 mm d⁻¹,0.023726000772019522 mm d⁻¹,-5.5816020069542756 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,276.12468182285795 mm,-29.62468182285795 mm,323.50000000000006 mm,293.87531817714205 mm,5.684341886080802e-14 mm,323.43163188453747 mm,1.0,269.3152892987084 mm,1180.6847107012914 mm,250.0 mm,1.0
1680.0 hr,24.0 hr,70.0 d,1987-03-12,71 d,121 d,15.6 °C,7.8 °C,11.700000000000045 °C,5.45 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.6186937499999998,2.1 g MJ⁻¹,0.012564400148902815 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.06282200074451408 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,10.9 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,323.50000000000006 mm,0.0 mm,160.48406181791503 mm,1.4690083706806347 mm,0.068368115462597 mm,137.43548188003808 mm,323.4316318845374 mm,2.404307981590367 mm d⁻¹,0.1,0.2,0.1009058720309957,12.480000000000018 °C,2.0070326387862747 mm d⁻¹,1.1,2.2077359026649024 mm d⁻¹,2.187736640604411 mm d⁻¹,0.019999262060491612 mm d⁻¹,1.0,2.187736640604411 mm d⁻¹,0.019999262060491612 mm d⁻¹,-4.61204388425527 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,270.5430798159037 mm,-24.043079815903695 mm,323.50000000000006 mm,299.45692018409636 mm,0.0 mm,323.43163188453747 mm,1.0,218.57345287185157 mm,1231.4265471281485 mm,250.0 mm,1.0
1704.0 hr,24.0 hr,71.0 d,1987-03-13,72 d,121 d,15.0 °C,3.3 °C,9.149999999999977 °C,10.75 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.5152359375,2.1 g MJ⁻¹,0.020638785608317358 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.1031939280415868 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,21.5 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,323.50000000000006 mm,0.0 mm,162.67179845851945 mm,1.4890076327411264 mm,0.068368115462597 mm,139.83978986162845 mm,323.4316318845374 mm,1.9431035931648382 mm d⁻¹,0.1,0.2,0.1009058720309957,10.319999999999993 °C,3.7526767673536487 mm d⁻¹,1.1,4.127944444089014 mm d⁻¹,4.090550549914971 mm d⁻¹,0.03739389417404295 mm d⁻¹,1.0,4.090550549914971 mm d⁻¹,0.03739389417404295 mm d⁻¹,-6.071048037253852 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,265.9310359316484 mm,-19.43103593164841 mm,323.50000000000006 mm,304.06896406835165 mm,0.0 mm,323.43163188453747 mm,1.0,176.6457811968035 mm,1273.3542188031963 mm,250.0 mm,1.0
1728.0 hr,24.0 hr,72.0 d,1987-03-14,73 d,121 d,22.2 °C,1.7 °C,11.949999999999989 °C,10.9 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.8008609375,2.1 g MJ⁻¹,0.0325276836314427 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.1626384181572135 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,21.8 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,323.50000000000006 mm,0.0 mm,166.76234900843443 mm,1.5264015269151694 mm,0.068368115462597 mm,141.78289345479328 mm,323.4316318845374 mm,1.3359987894394552 mm d⁻¹,0.1,0.2,0.1009058720309957,14.0 °C,4.161157351389092 mm d⁻¹,1.1,4.577273086528002 mm d⁻¹,4.535808849854851 mm d⁻¹,0.04146423667315038 mm d⁻¹,1.0,4.535808849854851 mm d⁻¹,0.04146423667315038 mm d⁻¹,-5.913271875967457 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,259.8599878943946 mm,-13.359987894394578 mm,323.50000000000006 mm,310.1400121056055 mm,0.0 mm,323.43163188453747 mm,1.0,121.45443540358684 mm,1328.545564596413 mm,250.0 mm,1.0
1752.0 hr,24.0 hr,73.0 d,1987-03-15,74 d,121 d,24.4 °C,5.6 °C,15.0 °C,9.45 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9007749999999999,2.1 g MJ⁻¹,0.031718866642813946 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.15859433321406974 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,18.9 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,323.50000000000006 mm,0.0 mm,171.29815785828927 mm,1.5678657635883197 mm,0.068368115462597 mm,143.11889224423274 mm,323.4316318845374 mm,0.7446716018427083 mm d⁻¹,0.1,0.2,0.1009058720309957,16.879999999999995 °C,3.849234794564461 mm d⁻¹,1.1,4.234158274020907 mm d⁻¹,4.195802218468462 mm d⁻¹,0.038356055552445305 mm d⁻¹,1.0,4.195802218468462 mm d⁻¹,0.038356055552445305 mm d⁻¹,-4.978829875863616 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,253.9467160184271 mm,-7.446716018427111 mm,323.50000000000006 mm,316.0532839815729 mm,0.0 mm,323.43163188453747 mm,1.0,67.69741834933713 mm,1382.302581650663 mm,250.0 mm,1.0
1776.0 hr,24.0 hr,74.0 d,1987-03-16,75 d,121 d,25.6 °C,7.8 °C,16.700000000000045 °C,10.5 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.94119375,2.1 g MJ⁻¹,0.03682458505336451 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.18412292526682253 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,21.0 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,323.50000000000006 mm,0.0 mm,175.49396007675773 mm,1.6062218191407651 mm,0.068368115462597 mm,143.86356384607544 mm,323.4316318845374 mm,0.2467886142563458 mm d⁻¹,0.1,0.2,0.1009058720309957,18.480000000000018 °C,4.426079338514015 mm d⁻¹,1.1,4.868687272365417 mm d⁻¹,4.824583196088412 mm d⁻¹,0.04410407627700533 mm d⁻¹,1.0,4.824583196088412 mm d⁻¹,0.04410407627700533 mm d⁻¹,-5.115475886621763 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,248.9678861425635 mm,-2.4678861425634864 mm,323.50000000000006 mm,321.0321138574365 mm,5.684341886080802e-14 mm,323.43163188453747 mm,1.0,22.435328568758713 mm,1427.5646714312413 mm,250.0 mm,1.0
1800.0 hr,24.0 hr,75.0 d,1987-03-17,76 d,121 d,25.0 °C,10.0 °C,17.5 °C,9.75 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.94359375,2.1 g MJ⁻¹,0.034281451305481256 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.1714072565274063 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,19.5 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,323.50000000000006 mm,0.0 mm,180.31854327284614 mm,1.6503258954177704 mm,0.068368115462597 mm,144.1103524603318 mm,323.4316318845374 mm,0.0 mm d⁻¹,0.1,0.2,0.1009058720309957,19.0 °C,4.154942693514178 mm d⁻¹,1.1,4.570436962865596 mm d⁻¹,4.529034652724707 mm d⁻¹,0.04140231014088837 mm d⁻¹,0.9834006912598225,4.453855808229168 mm d⁻¹,0.04140231014088837 mm d⁻¹,-4.495258118370057 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,243.85241025594172 mm,2.64758974405828 mm,323.50000000000006 mm,326.14758974405834 mm,0.0 mm,323.43163188453747 mm,1.0,0.0 mm,1450.0 mm,250.0 mm,1.0
1824.0 hr,24.0 hr,76.0 d,1987-03-18,77 d,121 d,23.9 °C,12.8 °C,18.350000000000023 °C,3.55 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9405859374999999,2.1 g MJ⁻¹,0.01244217663921954 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.062210883196097695 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,7.1 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,323.50000000000006 mm,0.0 mm,184.77239908107532 mm,1.6917282055586589 mm,0.068368115462597 mm,144.1103524603318 mm,323.4316318845374 mm,0.0 mm d⁻¹,0.1,0.2,0.1009058720309957,19.45999999999998 °C,1.5273231974216328 mm d⁻¹,1.1,1.6800555171637963 mm d⁻¹,1.6648363641286095 mm d⁻¹,0.015219153035186847 mm d⁻¹,0.9552172547810134,1.590280421402534 mm d⁻¹,0.015219153035186847 mm d⁻¹,-1.6054995744377207 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,239.35715213757166 mm,7.14284786242834 mm,323.50000000000006 mm,330.64284786242837 mm,5.684341886080802e-14 mm,323.43163188453747 mm,1.0,0.0 mm,1450.0 mm,250.0 mm,1.0
1848.0 hr,24.0 hr,77.0 d,1987-03-19,78 d,121 d,26.7 °C,16.7 °C,21.69999999999999 °C,9.6 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9919,2.1 g MJ⁻¹,0.03548204574583629 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.17741022872918147 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,19.2 MJ d⁻¹ m⁻²,3.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,3.0 mm d⁻¹,0.0 mm d⁻¹,3.0 mm d⁻¹,206.62500000000003 mm,323.50000000000006 mm,0.0 mm,186.36267950247785 mm,1.7069473585938457 mm,0.068368115462597 mm,144.1103524603318 mm,323.4316318845374 mm,0.0 mm d⁻¹,0.1,0.2,0.1009058720309957,22.69999999999999 °C,4.406369994967855 mm d⁻¹,1.1,4.847006994464642 mm d⁻¹,4.803099313761382 mm d⁻¹,0.043907680703260066 mm d⁻¹,0.9451514267281124,4.539656169118388 mm d⁻¹,0.043907680703260066 mm d⁻¹,-1.5835638498216478 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,237.75165256313394 mm,8.748347436866055 mm,323.50000000000006 mm,332.2483474368661 mm,0.0 mm,323.43163188453747 mm,1.0,0.0 mm,1450.0 mm,250.0 mm,1.0
1872.0 hr,24.0 hr,78.0 d,1987-03-20,79 d,121 d,22.2 °C,11.1 °C,16.649999999999977 °C,8.15 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.8919234374999999,2.1 g MJ⁻¹,0.027086613645627738 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.1354330682281387 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,16.3 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,326.50000000000006 mm,0.0 mm,190.90233567159623 mm,1.7508550392971058 mm,0.068368115462597 mm,144.1103524603318 mm,326.4316318845374 mm,0.0 mm d⁻¹,0.1,0.2,0.1009058720309957,17.75999999999999 °C,3.38338404026088 mm d⁻¹,1.1,3.7217224442869683 mm d⁻¹,3.6880084015928833 mm d⁻¹,0.033714042694084845 mm d⁻¹,0.9352231267292306,3.449110748741368 mm d⁻¹,0.033714042694084845 mm d⁻¹,-3.482824791435453 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,236.1680887133123 mm,10.3319112866877 mm,326.50000000000006 mm,336.8319112866877 mm,0.0 mm,326.43163188453747 mm,1.0,0.0 mm,1450.0 mm,250.0 mm,1.0
1896.0 hr,24.0 hr,79.0 d,1987-03-21,80 d,121 d,26.1 °C,5.0 °C,15.550000000000011 °C,11.15 MJ d⁻¹ m⁻²,1.0,0.104 m²,0.64,0.85,0.028 m² g⁻¹,300.0 K,0.013,12.0,2.0,5.3,0.03 g K⁻¹,5.0 m⁻²,0.1 d⁻¹,10.0 °C,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.9330484375000001,2.1 g MJ⁻¹,0.03876578524258843 g d⁻¹,60.0 cm,0.6855049101204336,false,false,false,0.0,0.0 d⁻¹,2.0,0.0 K,0.0 K,0.12099573281487792,0.0 d⁻¹,0.0 d⁻¹,0.0 d⁻¹,0.013,1.0,0.19382892621294218 g d⁻¹ m⁻²,0.3 g m⁻²,0.045 g m⁻²,0.255 g m⁻²,0.0 g m⁻²,false,22.3 MJ d⁻¹ m⁻²,0.0 mm d⁻¹,0.0 mm d⁻¹,55.0,145.0 cm,0.1 d⁻¹,0.06,0.17,0.28,246.5 mm,87.0 mm,246.50000000000003 mm,406.0 mm,8.181818181818183 inch d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,206.62500000000003 mm,326.50000000000006 mm,0.0 mm,194.3514464203376 mm,1.7845690819911906 mm,0.068368115462597 mm,144.1103524603318 mm,326.4316318845374 mm,0.0 mm d⁻¹,0.1,0.2,0.1009058720309957,17.659999999999968 °C,4.618902416207246 mm d⁻¹,1.1,5.0807926578279705 mm d⁻¹,5.034767178187824 mm d⁻¹,0.0460254796401462 mm d⁻¹,0.9133872346199173,4.5986920698401015 mm d⁻¹,0.0460254796401462 mm d⁻¹,-4.644717549480248 mm d⁻¹,0.0 mm d⁻¹,0.0 mm d⁻¹,0.0 mm,232.68526392187684 mm,13.814736078123161 mm,326.50000000000006 mm,340.31473607812313 mm,1.1368683772161603e-13 mm,326.43163188453747 mm,1.0,0.0 mm,1450.0 mm,250.0 mm,1.0
