"Seattle, Seattle, King, WA"
"2023-01-01 through 2023-12-31"
Date,1.5 m Min Air Temp,1.5 m Avg Air Temp,1.5 m Max Air Temp,9 m Min Air Temp,9 m Avg Air Temp,9 m Max Air Temp,1.5 m Avg Dew Point,1.5 m Avg Rel. Hum,Solar Radiation,Precipiation,2 m Avg Wind Speed,2 m Max Wind Gust,10 m Avg Wind Speed,10 m Max Wind Gust,10 m Avg Wind Dir,2 in Avg Soil Temperature,2 in Avg Soil Water Pot,8 in Avg Soil Temperature,8 in Avg Soil Water Pot,ETo,ETr,
2023-02-02,33.1,41.1,54.1,34.8,41.9,52.5,32.3,72.4,8.27,0.00,1.7,5.8,1.9,4.3,E,41.5,    0,42.0,    0,0.02,0.04,
2023-02-03,37.7,45.1,51.1,39.3,44.8,50.9,37.6,75.5,1.58,0.24,3.3,16.5,4.8,11.1,S,41.9,    0,42.4,    0,0.02,0.04,
2023-02-04,46.0,49.0,55.4,44.6,47.1,51.6,46.1,89.7,3.07,0.08,1.0,7.6,2.1,6.4,SE,44.4,    0,44.0,    0,0.02,0.03,
2023-02-05,43.5,46.6,48.5,43.0,45.7,47.6,44.3,91.6,2.38,0.09,1.2,12.3,2.2,7.3,E,45.0,    0,45.1,    0,0.01,0.01,
2023-02-06,44.4,47.0,50.4,43.9,46.4,49.2,41.6,81.4,3.72,0.00,4.6,18.9,7.0,11.6,S,45.6,    0,45.6,    0,0.03,0.05,
2023-02-07,42.8,47.5,52.1,42.5,46.7,51.0,41.4,79.4,3.97,0.09,4.1,15.3,6.1,9.2,S,45.8,    0,45.9,    0,0.03,0.05,
2023-02-08,37.7,43.5,49.7,38.8,43.5,48.0,36.8,77.5,8.02,0.00,1.7,9.4,2.7,6.9,S,44.7,    0,45.1,    0,0.02,0.03,
2023-02-09,40.9,46.7,57.9,42.2,47.0,56.1,38.1,73.5,5.45,0.04,1.1,14.1,1.5,7.3,SE,45.6,    0,45.7,    0,0.03,0.04,
2023-02-10,44.2,48.5,54.6,44.7,47.6,52.7,41.8,78.0,7.56,0.01,3.3,14.1,5.0,9.2,S,46.3,    0,46.3,    0,0.04,0.05,
2023-02-11,35.1,42.1,49.1,36.1,42.4,48.0,36.6,81.9,6.61,0.00,1.5,11.1,1.8,5.7,N,45.2,    0,46.0,    0,0.02,0.03,
2023-02-12,32.9,42.5,51.1,33.1,42.1,50.7,36.0,79.4,7.70,0.00,2.4,14.7,3.9,12.0,SE,44.4,    0,44.8,    0,0.03,0.04,
2023-02-13,37.0,43.4,48.6,36.4,42.8,48.0,37.7,80.3,3.67,0.10,2.8,12.9,3.7,8.6,S,45.6,    0,46.0,    0,0.03,0.04,
2023-02-14,31.0,37.1,43.9,31.3,37.1,42.9,30.9,80.4,7.95,0.00,2.5,14.1,3.1,8.0,N ,43.1,    0,44.3,    0,0.03,0.04,
2023-02-15,28.1,36.0,46.8,29.0,36.3,45.0,29.4,79.3,10.93,0.01,1.6,6.4,2.0,5.7,E,41.7,    0,42.7,    0,0.03,0.04,
