obs_yield,precip,rad,maxt,mint,sat,hyd,clay,bulk,water,lat,long,elev
14.81,341.6,20.34,24.27,12.61,0.36,55.89,0.06,1.37,1,44.46,-73.08,204.15
14.81,341.6,20.34,24.27,12.61,0.45,3.18,0.72,1.55,1,44.46,-73.08,204.15
,373.21,19.42,25.57,12.76,0.41,1,0.7,1.7,1,44.03,-73.14,256.66
,373.21,19.42,25.57,12.76,0.4,145.8,0.05,1.41,1,44.03,-73.14,256.66
,373.21,19.42,25.57,12.76,0.45,3.18,0.72,1.55,1,44.03,-73.14,256.66
,402.38,19.56,20.88,8,0.39,61.18,0.08,1.29,1,44.83,-72.24,405.67
,402.38,19.55,24.31,9.29,0.39,61.18,0.08,1.29,1,44.83,-72.24,405.67
,402.38,19.55,24.31,9.29,0.39,116.48,0.05,1.36,1,44.83,-72.24,405.67
14.86,444.41,19.42,24.35,11.28,0.46,168.88,0.07,1.12,1,44.86,-72.91,201.48
14.86,444.41,19.42,24.35,11.28,0.36,90.74,0.03,1.46,1,44.86,-72.91,201.48
14.86,444.41,19.42,24.35,11.28,0.33,57.66,0.07,1.65,1,44.86,-72.91,201.48
15.34,392.83,20.06,24.95,11.85,0.37,48.87,0.08,1.41,1,44.46,-72.1,418.39
15.34,392.83,20.06,24.95,11.85,0.36,26.19,0.13,1.51,1,44.46,-72.1,418.39
15.34,392.83,20.06,24.95,11.85,0.41,19.41,0.35,1.52,1,44.46,-72.1,418.39
21.88,335.97,19.47,25.47,11.74,0.36,90.74,0.03,1.46,1,44.27,-72.61,414.89
21.88,335.97,19.47,25.47,11.74,0.46,168.88,0.07,1.12,1,44.27,-72.61,414.89
21.88,335.97,19.47,25.47,11.74,0.33,57.66,0.07,1.65,1,44.27,-72.61,414.89
,352.74,18.95,23.12,10.59,0.3,50.92,0.05,1.72,1,43.58,-72.59,391.63
,370.01,18.95,23.12,10.59,0.39,80.35,0.11,1.46,1,43.58,-72.59,391.63
,321.7,18.95,23.12,10.59,0.39,62.82,0.09,1.33,1,43.58,-72.59,391.63
16.21,373.21,19.04,25.57,11.98,0.4,163.59,0.06,1.38,1,43.58,-73.04,384.09
16.21,415.91,19.42,24.26,8.69,0.4,163.59,0.06,1.38,1,43.58,-73.04,384.09
16.21,415.91,19.62,24.8,9.85,0.4,95.4,0.05,1.36,1,43.58,-73.04,384.09
,456.39,19.42,25.57,12.76,0.41,3.79,0.6,1.7,1,44.73,-71.74,484.85
,372.26,19.01,25.78,12.15,0.37,253.28,0.01,1.51,1,44.73,-71.74,484.85
,372.26,19.01,25.78,12.15,0.39,288.89,0.05,1.39,1,44.73,-71.74,484.85
,352.26,19.93,26.07,15.65,0.31,41.98,0.05,1.59,1,41.71,-71.28,14.23
,352.26,19.93,26.07,15.65,0.44,158,0.05,1.21,1,41.71,-71.28,14.23
,352.26,19.93,26.07,15.65,0.36,70.42,0.08,1.53,1,41.71,-71.28,14.23
,357.17,19.77,24.91,13.47,0.35,197,0.02,0.66,1,41.67,-71.59,90.27
,357.17,19.77,24.91,13.47,0.42,415.4,0.03,1.33,1,41.67,-71.59,90.27
,357.17,19.77,24.91,13.47,0.39,292.45,0.03,1.37,1,41.67,-71.59,90.27
,352.26,19.93,26.07,15.65,0.35,67.42,0.06,1.4,1,41.87,-71.58,113.22
,352.26,19.93,26.07,15.65,0.44,158,0.05,1.21,1,41.87,-71.58,113.22
,352.26,19.93,26.07,15.65,0.36,70.42,0.08,1.53,1,41.87,-71.58,113.22
,344.43,20.17,25.01,13.01,0.35,72.47,0.02,1.34,1,41.47,-71.62,43.66
,344.43,20.17,25.01,13.01,0.35,66.05,0.06,1.31,1,41.47,-71.62,43.66
,344.43,20.17,25.01,13.01,0.33,67.16,0.06,1.55,1,41.47,-71.62,43.66
26.74,287.72,19.99,23.9,15.55,0.34,31.76,0.09,1.56,1,41.56,-71.24,30.48
26.74,287.72,19.99,23.9,15.55,0.31,41.98,0.05,1.59,1,41.56,-71.24,30.48
26.74,287.72,19.99,23.9,15.55,0.33,38.65,0.07,1.53,1,41.56,-71.24,30.48
20.36,370.87,19.51,26.71,13.39,0.43,150,0.07,1.29,1,42.92,-71.72,200.78
20.36,363.9,19.55,25.62,12.57,0.48,365,0.06,1.15,1,42.92,-71.72,200.78
