obs_yield,precip,rad,maxt,mint,sat,hyd,clay,bulk,water,lat,long,elev
26.24,304.86,20.44,25.22,12.91,0.36,30.58,0.23,1.52,1,43.16,-77.03,130.8
26.24,304.86,20.44,25.22,12.91,0.37,13.6,0.22,1.54,1,43.16,-77.03,130.8
23.8,398.63,21.05,24.07,10.64,0.35,48.82,0.11,1.52,1,42.76,-78.73,285.49
23.8,398.63,21.05,24.07,10.64,0.32,22.01,0.12,1.69,1,42.76,-78.73,285.49
23.8,369,20.88,25.17,13.09,0.32,22.01,0.12,1.69,1,42.76,-78.73,285.49
19.82,301,21.22,24.88,12.9,0.38,14.27,0.22,1.55,1,43.2,-78.74,141.36
19.82,301,21.22,24.88,12.9,0.41,19.82,0.26,1.47,1,43.2,-78.74,141.36
19.82,301,21.22,24.88,12.9,0.42,14.69,0.28,1.47,1,43.2,-78.74,141.36
22.71,278.16,20.8,25.13,13.55,0.36,21.76,0.21,1.65,1,43.15,-77.7,150.19
22.71,278.16,20.8,25.13,13.55,0.42,23.13,0.23,1.41,1,43.15,-77.7,150.19
22.71,278.16,20.8,25.13,13.55,0.38,22.93,0.19,1.54,1,43.15,-77.7,150.19
23.55,300.82,20.91,25.51,13.85,0.36,12.02,0.22,1.66,1,43.25,-78.23,147.04
23.55,300.82,20.91,25.51,13.85,0.34,5.04,0.21,1.75,1,43.25,-78.23,147.04
23.55,300.82,20.91,25.51,13.85,0.41,26.67,0.2,1.41,1,43.25,-78.23,147.04
15.27,348.02,19.97,24.49,12.96,0.38,12.41,0.22,1.55,1,42.92,-76.55,238.92
15.27,348.02,19.97,24.49,12.96,0.38,19.71,0.22,1.53,1,42.92,-76.55,238.92
15.27,348.02,19.97,24.49,12.96,0.33,11.49,0.22,1.72,1,42.92,-76.55,238.92
25.17,339.51,19.92,25.04,13.46,0.37,12.27,0.22,1.56,1,43.01,-76.19,243.8
25.17,339.51,19.92,25.04,13.46,0.38,61.96,0.11,1.46,1,43.01,-76.19,243.8
25.17,339.51,19.92,25.04,13.46,0.38,13.36,0.22,1.53,1,43.01,-76.19,243.8
21.84,310.29,20.29,25.04,13.05,0.37,9.49,0.24,1.61,1,42.85,-77.3,282.78
21.84,310.29,20.29,25.04,13.05,0.34,12.69,0.21,1.71,1,42.85,-77.3,282.78
21.84,282.65,20.16,26.03,12.96,0.35,41.52,0.2,1.71,1,42.85,-77.3,282.78
,372.08,18.47,25.03,11.57,0.4,182.54,0.09,1.39,1,42.28,-74.12,431.79
,349.36,18.64,27.05,12.9,0.4,182.54,0.09,1.39,1,42.28,-74.12,431.79
,349.36,18.64,27.05,12.9,0.4,4.66,0.59,1.74,1,42.28,-74.12,431.79
,437.47,19.53,24.08,11.55,0.41,21.78,0.27,1.42,1,42.91,-75.67,377.3
,437.47,19.53,24.08,11.55,0.37,13.88,0.21,1.57,1,42.91,-75.67,377.3
,437.47,19.53,24.08,11.55,0.32,22.73,0.12,1.69,1,42.91,-75.67,377.3
31.75,384.21,19.25,24.17,12.79,0.35,13.61,0.2,1.63,1,43.24,-75.44,274.86
31.75,384.21,19.25,24.17,12.79,0.39,19.08,0.26,1.51,1,43.24,-75.44,274.86
31.75,384.21,19.25,24.17,12.79,0.37,15.19,0.22,1.55,1,43.24,-75.44,274.86
32.14,372.08,18.47,25.03,11.57,0.39,110.13,0.11,1.4,1,42.59,-74.44,461.44
32.14,404.5,18.92,23.5,11.64,0.39,110.13,0.11,1.4,1,42.59,-74.44,461.44
32.14,383.35,18.53,24.8,12.14,0.39,110.13,0.11,1.4,1,42.59,-74.44,461.44
21.9,368.04,19.85,23.46,12.71,0.33,23.96,0.12,1.62,1,42.17,-76.31,381.1
21.9,368.04,19.85,23.46,12.71,0.34,11.46,0.22,1.68,1,42.17,-76.31,381.1
21.9,348.34,20.03,25.15,9.86,0.34,11.46,0.22,1.68,1,42.17,-76.31,381.1
25.2,404.5,18.92,23.5,11.64,0.37,9.19,0.29,1.65,1,42.9,-74.44,220.62
25.2,383.35,18.53,24.8,12.14,0.36,15.98,0.22,1.61,1,42.9,-74.44,220.62
25.2,383.35,18.53,24.8,12.14,0.37,9.19,0.29,1.65,1,42.9,-74.44,220.62
29.57,352.65,21.08,25.16,12.86,0.34,6.81,0.2,1.73,1,43,-78.19,258.15
29.57,352.65,21.08,25.16,12.86,0.34,9.33,0.24,1.73,1,43,-78.19,258.15
29.57,352.65,21.08,25.16,12.86,0.37,13.88,0.21,1.55,1,43,-78.19,258.15
32.03,292.55,20.71,24.97,12.33,0.35,10.85,0.21,1.68,1,42.7,-78.22,455.68
32.03,356.93,20.89,23.05,10.79,0.35,28.44,0.12,1.56,1,42.7,-78.22,455.68
32.03,356.93,20.89,23.05,10.79,0.31,23.93,0.12,1.7,1,42.7,-78.22,455.68
19.18,360.8,20.01,26.06,12,0.37,61.08,0.12,1.45,1,42.14,-76.76,396.46
19.18,360.8,20.01,26.06,12,0.38,40.88,0.12,1.36,1,42.14,-76.76,396.46
19.18,360.8,20.01,26.06,12,0.34,11.62,0.22,1.7,1,42.14,-76.76,396.46
28.31,278.27,20.44,24.85,10.32,0.4,22.54,0.22,1.41,1,42.27,-77.38,492.18
28.31,278.27,20.44,24.85,10.32,0.32,24.88,0.12,1.66,1,42.27,-77.38,492.18
28.31,278.27,20.44,24.85,10.32,0.33,10.67,0.22,1.73,1,42.27,-77.38,492.18
20.98,350.05,19.94,24.62,11.95,0.35,28.39,0.12,1.48,1,42.45,-76.47,368.13
20.98,350.05,19.94,24.62,11.95,0.32,8.32,0.24,1.77,1,42.45,-76.47,368.13
20.98,350.05,19.94,24.62,11.95,0.36,14.87,0.22,1.59,1,42.45,-76.47,368.13
,349.36,18.64,27.05,12.9,0.4,80.41,0.1,1.4,1,42.25,-73.63,188.57
,349.36,18.64,27.05,12.9,0.37,85.58,0.05,1.48,1,42.25,-73.63,188.57
,349.36,18.64,27.05,12.9,0.41,20.22,0.22,1.42,1,42.25,-73.63,188.57
,348.14,20.57,24.06,10.37,0.35,19.14,0.23,1.65,1,42.26,-78.03,559.22
,348.14,20.57,24.06,10.37,0.33,27.78,0.12,1.57,1,42.26,-78.03,559.22
,348.14,20.57,24.06,10.37,0.38,37.29,0.12,1.32,1,42.26,-78.03,559.22
26.6,322.29,20.56,24.75,12.82,0.37,13.32,0.22,1.55,1,42.73,-77.78,323.34
26.6,322.29,20.56,24.75,12.82,0.33,11.24,0.21,1.75,1,42.73,-77.78,323.34
26.6,292.55,20.71,24.97,12.33,0.46,9.45,0.43,1.44,1,42.73,-77.78,323.34
,383.35,18.53,24.8,12.14,0.4,30,0.12,1.42,1,43.11,-74.42,372.69
,383.35,18.53,24.8,12.14,0.46,107,0.14,1.18,1,43.11,-74.42,372.69
,382.65,18.92,24.71,11.69,0.4,30,0.12,1.42,1,43.11,-74.42,372.69
31.64,319.11,20.25,23.76,14.63,0.36,107.88,0.1,1.4,1,40.88,-72.86,21.8
31.64,348.8,19.28,26.01,15.3,0.36,107.88,0.1,1.4,1,40.88,-72.86,21.8
31.64,348.8,19.28,26.01,15.3,0.4,108.32,0.09,1.42,1,40.88,-72.86,21.8
11.57,310.48,18.8,23.9,11.78,0.37,71.11,0.1,1.53,1,44.5,-75.06,244.37
11.57,334.12,18.7,24.58,11.13,0.47,10.29,0.45,1.41,1,44.5,-75.06,244.37
11.57,291.49,18.8,24.61,12.44,0.47,10.29,0.45,1.41,1,44.5,-75.06,244.37
28.34,415.39,19.78,23.79,10.36,0.34,33.04,0.1,1.67,1,44.59,-74.3,425.6
28.34,415.39,19.78,23.79,10.36,0.46,13.29,0.33,1.43,1,44.59,-74.3,425.6
28.34,415.39,19.78,23.79,10.36,0.36,52.28,0.1,1.39,1,44.59,-74.3,425.6
,393.9,19.05,26.41,12.67,0.34,5.82,0.22,1.74,1,40.86,-74.54,195.39
,393.9,19.05,26.41,12.67,0.4,8.69,0.28,1.52,1,40.86,-74.54,195.39
,393.9,19.05,26.41,12.67,0.38,41.18,0.23,1.52,1,40.86,-74.54,195.39
,287.2,18.99,24.44,12.69,0.37,81.96,0.08,1.46,1,41.14,-74.69,242.73
,287.2,18.99,24.44,12.69,0.37,88.39,0.09,1.45,1,41.14,-74.69,242.73
,357.61,19,26.53,12.61,0.37,88.39,0.09,1.45,1,41.14,-74.69,242.73
,393.9,19.05,26.41,12.67,0.4,9.75,0.28,1.52,1,40.86,-75,185.16
,327.32,19.11,27.17,15.25,0.4,9.75,0.28,1.52,1,40.86,-75,185.16
,349.09,18.99,27.88,12.89,0.4,9.75,0.28,1.52,1,40.86,-75,185.16
,351.38,19.21,28.37,14.29,0.39,14.98,0.25,1.56,1,40.57,-74.91,124.14
,351.38,19.21,28.37,14.29,0.35,22.46,0.2,1.54,1,40.57,-74.91,124.14
,351.38,19.21,28.37,14.29,0.39,17.41,0.23,1.47,1,40.57,-74.91,124.14
,351.38,19.21,28.37,14.29,0.36,12.42,0.21,1.61,1,40.28,-74.7,40.66
,342.49,19.17,27.76,15.22,0.36,30.53,0.16,1.62,1,40.28,-74.7,40.66
,342.49,19.17,27.76,15.22,0.41,24.13,0.2,1.37,1,40.28,-74.7,40.66
,348.74,19.17,27.86,14.58,0.41,26.41,0.21,1.37,1,40.56,-74.62,60.73
,348.74,19.17,27.86,14.58,0.37,16.39,0.22,1.53,1,40.56,-74.62,60.73
,348.74,19.17,27.86,14.58,0.33,30.81,0.16,1.58,1,40.56,-74.62,60.73
,332.75,18.81,27.21,14.21,0.35,9.82,0.36,1.7,1,40.96,-74.07,60.33
,332.75,18.81,27.21,14.21,0.38,85,0.1,0,1,40.96,-74.07,60.33
,313.17,18.68,27.79,17.81,0.38,85,0.1,0,1,40.96,-74.07,60.33
27.72,314.22,20.7,28.94,16.1,0.44,32.47,0.24,1.25,1,39.59,-75.35,15.95
27.72,314.22,20.7,28.94,16.1,0.34,38.28,0.09,1.65,1,39.59,-75.35,15.95
27.72,314.22,20.7,28.94,16.1,0.36,30.53,0.16,1.62,1,39.59,-75.35,15.95
,342.49,19.17,27.76,15.22,0.36,30.53,0.16,1.62,1,40.44,-74.41,24.49
,342.49,19.17,27.76,15.22,0.37,36.25,0.16,1.48,1,40.44,-74.41,24.49
,342.49,19.17,27.76,15.22,0.39,37.12,0.2,1.49,1,40.44,-74.41,24.49
,339.77,20.99,28.37,15.18,0.34,29.61,0.11,1.63,1,39.15,-74.81,3.94
,339.77,20.99,28.37,15.18,0.36,58.53,0.1,1.54,1,39.15,-74.81,3.94
,279.14,21.01,26.36,17.35,0.36,49.82,0.13,1.61,1,39.15,-74.81,3.94
26.49,301.84,20.87,27.86,16.59,0.36,58.53,0.1,1.54,1,39.37,-75.11,14.3
26.49,301.84,20.87,27.86,16.59,0.36,30.53,0.16,1.62,1,39.37,-75.11,14.3
26.49,314.22,20.7,28.94,16.1,0.44,32.47,0.24,1.25,1,39.37,-75.11,14.3
,373.82,20.93,28.56,14.64,0.39,33.85,0.21,1.56,1,39.88,-74.67,20.66
,373.82,20.93,28.56,14.64,0.41,65.81,0.18,1.44,1,39.88,-74.67,20.66
,373.82,20.93,28.56,14.64,0.41,57.6,0.2,1.44,1,39.88,-74.67,20.66
,301.84,20.87,27.86,16.59,0.34,38.28,0.09,1.65,1,39.48,-74.69,13.9
,356.26,20.41,28.5,14.89,0.34,38.28,0.09,1.65,1,39.48,-74.69,13.9
,356.26,20.41,28.5,14.89,0.46,321,0.07,1.26,1,39.48,-74.69,13.9
,347.89,18.98,26.27,12.36,0.36,82.59,0.13,1.59,1,41.03,-74.3,179.38
,332.75,18.81,27.21,14.21,0.36,48.48,0.11,1.53,1,41.03,-74.3,179.38
,332.75,18.81,27.21,14.21,0.39,7.14,0.28,1.6,1,41.03,-74.3,179.38
,370.34,18.77,27.41,13.76,0.35,113.35,0.07,1.59,1,40.79,-74.25,72.39
,332.75,18.81,27.21,14.21,0.37,55.14,0.08,0.94,1,40.79,-74.25,72.39
,332.75,18.81,27.21,14.21,0.35,113.35,0.07,1.59,1,40.79,-74.25,72.39
,356.26,20.41,28.5,14.89,0.34,38.28,0.09,1.65,1,39.8,-74.96,27.08
,356.26,20.41,28.5,14.89,0.34,29.61,0.11,1.63,1,39.8,-74.96,27.08
,356.26,20.41,28.5,14.89,0.33,161.79,0.04,1.71,1,39.8,-74.96,27.08
,314.22,20.7,28.94,16.1,0.34,38.28,0.09,1.65,1,39.72,-75.14,25.57
,314.22,20.7,28.94,16.1,0.36,29.36,0.16,1.62,1,39.72,-75.14,25.57
,314.22,20.7,28.94,16.1,0.36,29.81,0.15,1.61,1,39.72,-75.14,25.57
,349.43,19.5,27.75,15.28,0.37,25.54,0.18,1.61,1,40.26,-74.22,30.35
,342.49,19.17,27.76,15.22,0.37,25.54,0.18,1.61,1,40.26,-74.22,30.35
,342.49,19.17,27.76,15.22,0.36,30.53,0.16,1.62,1,40.26,-74.22,30.35
,342.49,19.17,27.76,15.22,0.34,29.61,0.11,1.63,1,39.91,-74.3,23.38
,373.82,20.93,28.56,14.64,0.46,321,0.07,1.26,1,39.91,-74.3,23.38
,373.82,20.93,28.56,14.64,0.34,163.06,0.04,1.61,1,39.91,-74.3,23.38
,424.02,20.18,27.38,14.64,0.38,4.72,0.35,1.68,1,39.92,-79.65,462.6
,424.02,20.18,27.38,14.64,0.37,4.72,0.35,1.69,1,39.92,-79.65,462.6
,424.02,20.18,27.38,14.64,0.29,8.65,0.28,1.86,1,39.92,-79.65,462.6
28,364.8,19.75,27.61,14.66,0.38,12.35,0.25,1.57,1,39.93,-77.72,271.83
28,364.8,19.75,27.61,14.66,0.41,9.88,0.4,1.54,1,39.93,-77.72,271.83
28,364.8,19.75,27.61,14.66,0.42,6.82,0.44,1.55,1,39.93,-77.72,271.83
,370.48,18.82,26.27,14.52,0.39,16.22,0.26,1.43,1,40.47,-79.98,320.64
,370.48,18.82,26.27,14.52,0.4,15.24,0.27,1.47,1,40.47,-79.98,320.64
,370.48,18.82,26.27,14.52,0.4,14.85,0.29,1.49,1,40.47,-79.98,320.64
26.66,398.47,20.26,25.47,11.58,0.34,16.34,0.2,1.61,1,41.99,-80.03,361.54
26.66,373.16,20.21,24.31,14.81,0.34,16.34,0.2,1.61,1,41.99,-80.03,361.54
26.66,373.16,20.21,24.31,14.81,0.38,8.04,0.26,1.64,1,41.99,-80.03,361.54
27.44,429.01,19.65,26,11.8,0.39,16.22,0.26,1.44,1,40.91,-79.91,381.21
27.44,429.01,19.65,26,11.8,0.34,54.82,0.13,1.65,1,40.91,-79.91,381.21
27.44,429.01,19.65,26,11.8,0.4,15.39,0.29,1.48,1,40.91,-79.91,381.21
,363.44,19.95,26.17,13.94,0.39,17.61,0.24,1.42,1,40.19,-80.25,349.33
,363.44,19.95,26.17,13.94,0.37,12.02,0.24,1.6,1,40.19,-80.25,349.33
,363.44,19.95,26.17,13.94,0.37,4.72,0.35,1.69,1,40.19,-80.25,349.33
,385.8,20.14,26.98,12.77,0.37,12.02,0.24,1.6,1,39.85,-80.22,364.11
,385.8,20.14,26.98,12.77,0.38,6.68,0.28,1.68,1,39.85,-80.22,364.11
,385.8,20.14,26.98,12.77,0.42,22.87,0.24,1.38,1,39.85,-80.22,364.11
,425.68,19.53,24.82,11.47,0.38,4.72,0.35,1.68,1,40.31,-79.47,402.91
,425.68,19.53,24.82,11.47,0.4,15.39,0.29,1.48,1,40.31,-79.47,402.91
,392.41,19.31,26.86,12.67,0.38,17.53,0.25,1.44,1,40.31,-79.47,402.91
25.09,407.34,20.29,26.63,12.03,0.37,12.53,0.26,1.54,1,39.97,-79.03,669.27
25.09,407.58,19.6,27.87,13.94,0.37,12.53,0.26,1.54,1,39.97,-79.03,669.27
25.09,407.58,19.6,27.87,13.94,0.39,13.93,0.26,1.51,1,39.97,-79.03,669.27
,374.98,20.2,27.69,13.78,0.37,23.29,0.37,1.6,1,40.61,-77.62,319.91
,374.98,20.2,27.69,13.78,0.36,20.94,0.4,1.65,1,40.61,-77.62,319.91
,374.98,20.2,27.69,13.78,0.36,19.21,0.38,1.63,1,40.61,-77.62,319.91
29.12,357.89,19.9,26.02,13.87,0.37,23.29,0.37,1.6,1,40.92,-77.82,451.38
29.12,357.89,19.9,26.02,13.87,0.37,12.06,0.36,1.6,1,40.92,-77.82,451.38
29.12,357.89,19.9,26.02,13.87,0.34,0.35,0.52,1.91,1,40.92,-77.82,451.38
28,443.25,19.62,26.54,11.39,0.41,9.71,0.33,1.5,1,41.19,-79.42,429.09
28,443.25,19.62,26.54,11.39,0.37,13.33,0.24,1.57,1,41.19,-79.42,429.09
28,443.25,19.62,26.54,11.39,0.27,11.64,0.22,1.91,1,41.19,-79.42,429.09
,427.69,19.41,26.49,12.27,0.36,17.92,0.2,1.44,1,40.81,-79.46,371.18
,427.69,19.41,26.49,12.27,0.37,14.33,0.24,1.54,1,40.81,-79.46,371.18
,427.69,19.41,26.49,12.27,0.4,15.39,0.29,1.48,1,40.81,-79.46,371.18
27.44,398.47,20.26,25.47,11.58,0.33,22.85,0.14,1.62,1,41.81,-79.27,497.13
27.44,398.47,20.26,25.47,11.58,0.35,8.92,0.22,1.68,1,41.81,-79.27,497.13
27.44,441.47,19.96,25.87,12.23,0.35,8.92,0.22,1.68,1,41.81,-79.27,497.13
,350.13,19.78,27.93,12.21,0.39,10.59,0.33,1.55,1,40.48,-78.35,460.05
,359.73,19.71,25.56,14.1,0.39,10.59,0.33,1.55,1,40.48,-78.35,460.05
,359.73,19.71,25.56,14.1,0.36,13.59,0.25,1.58,1,40.48,-78.35,460.05
,350.13,19.78,27.93,12.21,0.37,23.29,0.37,1.6,1,40.42,-77.98,347.94
,350.13,19.78,27.93,12.21,0.41,6.53,0.38,1.55,1,40.42,-77.98,347.94
,350.13,19.78,27.93,12.21,0.37,12.06,0.36,1.6,1,40.42,-77.98,347.94
,385.2,19.7,27.48,12.95,0.35,10.18,0.2,1.65,1,40.68,-80.35,324.05
,370.48,18.82,26.27,14.52,0.39,16.22,0.26,1.43,1,40.68,-80.35,324.05
,370.48,18.82,26.27,14.52,0.4,15.39,0.29,1.48,1,40.68,-80.35,324.05
,385.2,19.7,27.48,12.95,0.35,10.18,0.2,1.65,1,40.99,-80.33,335.26
,385.2,19.7,27.48,12.95,0.34,6.68,0.21,1.71,1,40.99,-80.33,335.26
,429.01,19.65,26,11.8,0.34,6.68,0.21,1.71,1,40.99,-80.33,335.26
,318.96,19.79,27.17,13.05,0.37,23.29,0.37,1.6,1,40.01,-78.49,443.86
,359.73,19.71,25.56,14.1,0.37,23.29,0.37,1.6,1,40.01,-78.49,443.86
,359.73,19.71,25.56,14.1,0.36,19.21,0.38,1.63,1,40.01,-78.49,443.86
,364.8,19.75,27.61,14.66,0.41,9.88,0.4,1.54,1,39.93,-78.11,339.85
,318.96,19.79,27.17,13.05,0.35,18.14,0.18,1.55,1,39.93,-78.11,339.85
,318.96,19.79,27.17,13.05,0.32,29.59,0.15,1.63,1,39.93,-78.11,339.85
28,392.76,20.08,25.56,12.06,0.38,7.85,0.27,1.65,1,41.68,-80.11,396.78
28,451.93,20.1,25.29,11.61,0.37,13.21,0.23,1.56,1,41.68,-80.11,396.78
28,451.93,20.1,25.29,11.61,0.35,8.92,0.22,1.68,1,41.68,-80.11,396.78
28.56,375.45,20.02,27.32,12.39,0.35,7.04,0.21,1.69,1,41.3,-80.26,369.1
28.56,427.58,19.83,25.81,12.38,0.35,10.18,0.2,1.65,1,41.3,-80.26,369.1
28.56,427.58,19.83,25.81,12.38,0.35,7.04,0.21,1.69,1,41.3,-80.26,369.1
23.21,457.25,19.75,25.48,10.89,0.37,24.98,0.28,1.47,1,40.5,-78.71,590.29
23.21,457.25,19.75,25.48,10.89,0.39,13.93,0.26,1.51,1,40.5,-78.71,590.29
23.21,457.25,19.75,25.48,10.89,0.4,15.39,0.29,1.48,1,40.5,-78.71,590.29
25.2,441.01,19.57,26.3,12.59,0.37,12.21,0.25,1.56,1,40.65,-79.09,436.13
25.2,441.01,19.57,26.3,12.59,0.38,15.65,0.25,1.44,1,40.65,-79.09,436.13
25.2,441.01,19.57,26.3,12.59,0.38,15.65,0.25,1.44,1,40.65,-79.09,436.13
,405.5,19.94,26.04,12.24,0.38,13.41,0.26,1.52,1,41.44,-78.2,514.92
,405.5,19.94,26.04,12.24,0.4,208.59,0.09,1.41,1,41.44,-78.2,514.92
,405.5,19.94,26.04,12.24,0.38,32.47,0.14,1.37,1,41.44,-78.2,514.92
,428.71,19.91,22.71,10.2,0.38,13.41,0.26,1.52,1,41.81,-78.57,584.92
,428.71,19.91,22.71,10.2,0.38,115.34,0.12,1.49,1,41.81,-78.57,584.92
,428.71,19.91,22.71,10.2,0.34,14.19,0.23,1.62,1,41.81,-78.57,584.92
28.42,405.5,19.94,26.04,12.24,0.39,30.79,0.25,1.47,1,41.74,-77.9,610.5
28.42,405.5,19.94,26.04,12.24,0.33,17.82,0.2,1.58,1,41.74,-77.9,610.5
28.42,307.87,20.25,23.7,10.99,0.36,16.54,0.21,1.54,1,41.74,-77.9,610.5
,411.92,19.93,26.43,12.11,0.34,9.71,0.2,1.67,1,41.4,-79.76,425.44
,411.92,19.93,26.43,12.11,0.41,9.71,0.33,1.5,1,41.4,-79.76,425.44
,411.92,19.93,26.43,12.11,0.39,13.93,0.26,1.51,1,41.4,-79.76,425.44
29.68,416.07,20.37,27.04,12.47,0.36,17.2,0.23,1.55,1,41.23,-77.64,442.71
29.68,416.07,20.37,27.04,12.47,0.41,10.02,0.39,1.53,1,41.23,-77.64,442.71
29.68,416.07,20.37,27.04,12.47,0.38,32.47,0.14,1.37,1,41.23,-77.64,442.71
,413.4,19.77,24.21,12.96,0.37,12.21,0.25,1.56,1,41.13,-79,479.49
,413.4,19.77,24.21,12.96,0.39,22.05,0.25,1.44,1,41.13,-79,479.49
,413.4,19.77,24.21,12.96,0.38,16.12,0.25,1.44,1,41.13,-79,479.49
,397.05,19.64,25.36,11.3,0.41,9.53,0.36,1.51,1,41.51,-79.24,482.1
,397.05,19.64,25.36,11.3,0.4,18.84,0.24,1.46,1,41.51,-79.24,482.1
,397.05,19.64,25.36,11.3,0.39,32.91,0.24,1.43,1,41.51,-79.24,482.1
,407.48,19.82,25.45,10.02,0.38,24.29,0.23,1.36,1,41.43,-78.65,541.8
,407.48,19.82,25.45,10.02,0.32,45.06,0.23,1.66,1,41.43,-78.65,541.8
,407.48,19.82,25.45,10.02,0.39,13.93,0.26,1.51,1,41.43,-78.65,541.8
29.68,409.53,19.76,23.72,10.96,0.38,17.53,0.25,1.44,1,41,-78.47,500.94
29.68,409.53,19.76,23.72,10.96,0.39,13.93,0.26,1.51,1,41,-78.47,500.94
29.68,409.53,19.76,23.72,10.96,0.27,11.64,0.22,1.91,1,41,-78.47,500.94
29.12,416.43,19.26,31.1,18.83,0.4,21.31,0.22,1.41,1,40.34,-75.11,101.56
29.12,416.43,19.26,31.1,18.83,0.4,21.31,0.22,1.41,1,40.34,-75.11,101.56
29.12,416.43,19.26,31.1,18.83,0.36,15.53,0.23,1.53,1,40.34,-75.11,101.56
,416.43,19.26,31.1,18.83,0.37,12.42,0.24,1.56,1,40.21,-75.37,87.84
,416.43,19.26,31.1,18.83,0.36,16.11,0.24,1.54,1,40.21,-75.37,87.84
,438.39,19.67,27.86,15.1,0.36,16.11,0.24,1.54,1,40.21,-75.37,87.84
,437.14,19.77,27.88,15.7,0.37,15.09,0.23,1.59,1,40.01,-75.13,32.95
,437.14,19.77,27.88,15.7,0.37,24.35,0.16,1.51,1,40.01,-75.13,32.95
,437.14,19.77,27.88,15.7,0.39,17.96,0.22,1.54,1,40.01,-75.13,32.95
25.54,364.99,19.55,27.17,17.24,0.37,36.46,0.17,1.54,1,39.97,-75.75,134.64
25.54,438.39,19.67,27.86,15.1,0.37,36.46,0.17,1.54,1,39.97,-75.75,134.64
25.54,438.39,19.67,27.86,15.1,0.36,9.76,0.27,1.65,1,39.97,-75.75,134.64
,380.62,19.88,28.54,18.55,0.39,21.19,0.22,1.42,1,39.92,-75.4,70.34
,380.62,19.88,28.54,18.55,0.38,14.6,0.26,1.53,1,39.92,-75.4,70.34
,438.39,19.67,27.86,15.1,0.39,21.19,0.22,1.42,1,39.92,-75.4,70.34
24.64,395.18,19.62,27.04,14.81,0.4,21.31,0.22,1.41,1,39.87,-77.22,225.62
24.64,395.18,19.62,27.04,14.81,0.37,10.66,0.24,1.65,1,39.87,-77.22,225.62
24.64,395.18,19.62,27.04,14.81,0.37,16.81,0.22,1.52,1,39.87,-77.22,225.62
23.44,364.99,19.55,27.17,17.24,0.41,21.08,0.23,1.39,1,39.92,-76.73,186.02
23.44,364.99,19.55,27.17,17.24,0.39,19.06,0.23,1.43,1,39.92,-76.73,186.02
23.44,366.45,19.24,28.89,14.75,0.41,21.08,0.23,1.39,1,39.92,-76.73,186.02
,307.87,20.25,23.7,10.99,0.37,36.21,0.17,1.45,1,41.77,-77.25,524.98
,307.87,20.25,23.7,10.99,0.36,39,0.12,1.49,1,41.77,-77.25,524.98
,307.87,20.25,23.7,10.99,0.35,12.4,0.24,1.64,1,41.77,-77.25,524.98
,399.12,19.16,23.76,11.62,0.35,19.31,0.18,1.5,1,41.82,-75.8,436.34
,399.12,19.16,23.76,11.62,0.35,12.4,0.24,1.64,1,41.82,-75.8,436.34
,399.12,19.16,23.76,11.62,0.36,22.21,0.19,1.54,1,41.82,-75.8,436.34
23.16,400.96,18.38,26.91,15.07,0.35,27.11,0.16,1.51,1,40.61,-75.59,174.43
23.16,400.96,18.38,26.91,15.07,0.38,11.35,0.29,1.58,1,40.61,-75.59,174.43
23.16,400.96,18.38,26.91,15.07,0.4,9.52,0.28,1.51,1,40.61,-75.59,174.43
27.89,364.99,19.55,27.17,17.24,0.41,21.08,0.23,1.39,1,40.04,-76.25,140.4
27.89,367.25,19.43,27.67,14.54,0.38,11.35,0.29,1.58,1,40.04,-76.25,140.4
27.89,367.25,19.43,27.67,14.54,0.41,9.31,0.44,1.54,1,40.04,-76.25,140.4
,370.61,18.99,24.55,11.3,0.33,19.35,0.15,1.66,1,41.65,-75.3,447.74
,370.61,18.99,24.55,11.3,0.35,20.29,0.17,1.55,1,41.65,-75.3,447.74
,445.01,19.17,22.89,10.16,0.35,20.29,0.17,1.55,1,41.65,-75.3,447.74
25.2,419.66,19.76,26.79,14.04,0.34,21.09,0.15,1.5,1,40.85,-76.71,234.97
25.2,419.66,19.76,26.79,14.04,0.35,16.53,0.21,1.56,1,40.85,-76.71,234.97
25.2,419.66,19.76,26.79,14.04,0.34,15.53,0.26,1.58,1,40.85,-76.71,234.97
25.7,454.05,19.07,27.13,15.3,0.36,13.59,0.23,1.58,1,40.71,-76.22,322.79
25.7,454.05,19.07,27.13,15.3,0.36,13.59,0.23,1.58,1,40.71,-76.22,322.79
25.7,412.18,19.33,28.28,14.99,0.36,13.59,0.23,1.58,1,40.71,-76.22,322.79
,374.98,20.2,27.69,13.78,0.39,5.65,0.45,1.63,1,40.4,-77.26,259.62
,374.98,20.2,27.69,13.78,0.33,18.54,0.18,1.56,1,40.4,-77.26,259.62
,419.66,19.76,26.79,14.04,0.36,14.98,0.21,1.55,1,40.4,-77.26,259.62
,395.18,19.62,27.04,14.81,0.38,12.35,0.25,1.57,1,40.16,-77.27,213.06
,344.77,19.13,27.69,16.37,0.37,23.29,0.37,1.6,1,40.16,-77.27,213.06
,350.23,19.22,27.77,15.13,0.37,23.29,0.37,1.6,1,40.16,-77.27,213.06
,344.77,19.13,27.69,16.37,0.35,18.14,0.18,1.55,1,40.42,-76.78,203.31
,419.66,19.76,26.79,14.04,0.35,18.14,0.18,1.55,1,40.42,-76.78,203.31
,419.66,19.76,26.79,14.04,0.36,16,0.21,1.53,1,40.42,-76.78,203.31
