"Seattle, Seattle, King, WA"
"2021-01-01 through 2021-12-31"
Date,1.5 m Min Air Temp,1.5 m Avg Air Temp,1.5 m Max Air Temp,9 m Min Air Temp,9 m Avg Air Temp,9 m Max Air Temp,1.5 m Avg Dew Point,1.5 m Avg Rel. Hum,Solar Radiation,Precipiation,2 m Avg Wind Speed,2 m Max Wind Gust,10 m Avg Wind Speed,10 m Max Wind Gust,10 m Avg Wind Dir,2 in Avg Soil Temperature,2 in Avg Soil Water Pot,8 in Avg Soil Temperature,8 in Avg Soil Water Pot,ETo,ETr,
2021-01-01,45.1,47.9,51.9,NA,NA,NA,45.7,92.1,1.44,0.28,2.8,13.5,NA,NA,NA,NA,NA,46.1,NA,0.01,0.02,
2021-01-02,40.8,47.5,49.4,NA,NA,NA,44.3,88.9,1.17,1.42,5.6,15.3,NA,NA,NA,NA,NA,46.7,NA,0.01,0.01,
2021-01-03,37.9,43.5,48.8,NA,NA,NA,41.0,91.1,2.72,0.30,3.4,11.7,NA,NA,NA,NA,NA,46.2,NA,0.01,0.02,
2021-01-04,43.6,46.0,49.6,NA,NA,NA,43.7,91.7,1.22,0.65,1.7,10.3,NA,NA,NA,NA,NA,46.2,NA,0.01,0.01,
2021-01-05,42.7,44.4,47.0,NA,NA,NA,41.2,88.7,1.04,0.74,2.5,11.7,NA,NA,NA,NA,NA,45.9,NA,0.01,0.02,
2021-01-06,37.1,45.2,52.0,NA,NA,NA,42.2,89.3,4.12,0.14,1.0,13.2,NA,NA,NA,NA,NA,46.0,NA,0.01,0.01,
2021-01-07,37.3,43.9,49.2,NA,NA,NA,40.7,89.2,3.34,0.00,0.8,9.2,NA,NA,NA,NA,NA,45.9,NA,0.01,0.01,
2021-01-08,36.6,43.3,48.9,NA,NA,NA,40.9,91.5,1.22,0.11,0.6,7.4,NA,NA,NA,NA,NA,45.4,NA,0.01,0.01,
2021-01-09,33.4,38.5,43.7,NA,NA,NA,37.3,93.7,4.52,0.00,0.7,4.6,NA,NA,NA,NA,NA,45.1,NA,0.00,0.00,
2021-01-10,39.7,44.9,49.4,NA,NA,NA,42.2,90.7,2.68,0.12,0.4,8.9,NA,NA,NA,NA,NA,45.3,NA,0.01,0.01,
2021-01-11,40.4,44.5,47.3,NA,NA,NA,43.2,95.2,1.02,0.95,0.7,8.2,NA,NA,NA,NA,NA,45.7,NA,0.00,0.00,
2021-01-12,45.2,51.4,56.6,NA,NA,NA,50.3,95.7,1.82,1.64,2.9,16.7,NA,NA,NA,NA,NA,46.8,NA,0.01,0.01,
2021-01-13,37.6,45.8,55.7,NA,NA,NA,38.6,76.6,5.38,0.14,2.4,21.8,NA,NA,NA,NA,NA,47.5,NA,0.02,0.03,
